 , LINK, DESCRIPCIÓN, ETAPA, FECHA PUBLICACIÓN, PROYECTO CONTRATADO, ESTADO, LOCALIZACIÓN, INVERSIÓN, TIPO DESARROLLO, MUNICIPIO, COLONIA, C.P.:, SECTOR, CATEGORÍA, FECHA INICIO PROBABLE, FECHA TERMINO PROBABLE, CONSTRUCCIÓN, TERRENO, SUCURSAL, Observaciones, Clasificación, Detalles, Descripción extra
35, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193694,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
36, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193695,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
37, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193696,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
38, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193697,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
39, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193698,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
40, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193699,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
41, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193700,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
42, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193701,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
43, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193702,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
44, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193703,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
45, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193704,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
46, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193705,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
47, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193706,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
48, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193707,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
49, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193708,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
50, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193709,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
51, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193710,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
52, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193711,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
53, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193712,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
54, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193713,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
55, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193714,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
56, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193715,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
57, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193716,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
58, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193717,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
59, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193718,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
60, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193719,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
61, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193720,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
62, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193721,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
63, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193722,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
64, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193723,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
65, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193724,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
66, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193725,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
67, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193726,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
68, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193727,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
69, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193728,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
70, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193729,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
71, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193730,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
72, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193731,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
73, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193732,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
74, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193733,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
75, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193734,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
